site.latitude,site.longitude,iron_transport.latitude,iron_transport.longitude,ewin_grid_feedstock.price,grid_feedstock.price
38.105,-94.806,38.105,-94.806,0.0826,0
41.24,-85.519,41.24,-85.519,0.0895,0
39.257,-77.09,39.257,-77.09,0.1247,0
45.223,-83.711,45.223,-83.711,0.0846,0
39.81,-80.704,39.81,-80.704,0.0827,0
41.678,-89.583,41.678,-89.583,0.0996,0
44.798,-83.331,44.798,-83.331,0.0846,0
42.005,-94.139,42.005,-94.139,0.0636,0
46.403,-95.749,46.403,-95.749,0.093,0
42.398,-97.551,42.398,-97.551,0.075,0
39.842,-80.116,39.842,-80.116,0.102,0
39.696,-89.064,39.696,-89.064,0.0996,0
44.743,-96.839,44.743,-96.839,0.0867,0
41.431,-95.915,41.431,-95.915,0.0636,0
41.059,-88.915,41.059,-88.915,0.0996,0
38.728,-75.52,38.728,-75.52,0.0948,0
39.353,-90.096,39.353,-90.096,0.0996,0
45.818,-95.751,45.818,-95.751,0.093,0
41.765,-83.501,41.765,-83.501,0.0846,0
41.709,-90.317,41.709,-90.317,0.0636,0
41.223,-88.31,41.223,-88.31,0.0996,0
45.123,-97.934,45.123,-97.934,0.0867,0
45.997,-84.822,45.997,-84.822,0.0846,0
39.098,-75.981,39.098,-75.981,0.1247,0
39.425,-89.52,39.425,-89.52,0.0996,0
43.656,-82.65,43.656,-82.65,0.0846,0
44.4,-89.291,44.4,-89.291,0.0864,0
45.245,-85.279,45.245,-85.279,0.0846,0
39.863,-90.623,39.863,-90.623,0.0996,0
46.107,-97.017,46.107,-97.017,0.0755,0
42.806,-84.196,42.806,-84.196,0.0846,0
40.843,-95.045,40.843,-95.045,0.0636,0
44.448,-97.296,44.448,-97.296,0.0867,0
41.691,-72.115,41.691,-72.115,0.177,0
38.804,-88.876,38.804,-88.876,0.0996,0
42.682,-76.639,42.682,-76.639,0.0895,0
38.316,-85.843,38.316,-85.843,0.0895,0
38.073,-92.857,38.073,-92.857,0.0784,0
39.939,-84.001,39.939,-84.001,0.0933,0
44.265,-85.299,44.265,-85.299,0.0846,0
38.003,-97.588,38.003,-97.588,0.0826,0
40.311,-86.251,40.311,-86.251,0.0895,0
44.548,-95.14,44.548,-95.14,0.093,0
45.809,-97.642,45.809,-97.642,0.0867,0
42.446,-85.914,42.446,-85.914,0.0846,0
44.387,-73.241,44.387,-73.241,0.126,0
40.942,-77.769,40.942,-77.769,0.102,0
38.429,-91.58,38.429,-91.58,0.0784,0
39.12,-78.282,39.12,-78.282,0.0992,0
38.62,-80.697,38.62,-80.697,0.0827,0
38.493,-97.46,38.493,-97.46,0.0826,0
39.311,-79.815,39.311,-79.815,0.0827,0
39.573,-86.934,39.573,-86.934,0.0895,0
46.208,-96.225,46.208,-96.225,0.093,0
43.684,-88.609,43.684,-88.609,0.0864,0
40.58,-89.113,40.58,-89.113,0.0996,0
45.189,-92.324,45.189,-92.324,0.0864,0
43.144,-84.737,43.144,-84.737,0.0846,0
38.279,-86.69,38.279,-86.69,0.0895,0
45.919,-88.326,45.919,-88.326,0.0864,0
43.184,-95.159,43.184,-95.159,0.0636,0
38.466,-82.998,38.466,-82.998,0.0686,0
38.779,-81.23,38.779,-81.23,0.0827,0
41.321,-78.403,41.321,-78.403,0.102,0
43.332,-77.817,43.332,-77.817,0.0895,0
41.138,-96.353,41.138,-96.353,0.075,0
41.121,-93.728,41.121,-93.728,0.0636,0
40.995,-82.625,40.995,-82.625,0.0933,0
40.345,-90.438,40.345,-90.438,0.0996,0
39.674,-95.918,39.674,-95.918,0.0826,0
42.984,-94.561,42.984,-94.561,0.0636,0
43.353,-87.89,43.353,-87.89,0.0864,0
38.446,-92.139,38.446,-92.139,0.0784,0
42.465,-92.635,42.465,-92.635,0.0636,0
38.129,-89.088,38.129,-89.088,0.0996,0
41.689,-92.824,41.689,-92.824,0.0636,0
43.274,-76.603,43.274,-76.603,0.0895,0
43.432,-92.279,43.432,-92.279,0.0636,0
38.394,-79.616,38.394,-79.616,0.0992,0
46.327,-91.139,46.327,-91.139,0.0864,0
42.59,-73.3,42.59,-73.3,0.1903,0
42.581,-75.908,42.581,-75.908,0.0895,0
41.052,-84.377,41.052,-84.377,0.0933,0
39.238,-77.673,39.238,-77.673,0.0992,0
43.146,-82.457,43.146,-82.457,0.0846,0
44.703,-87.551,44.703,-87.551,0.0864,0
40.145,-93.762,40.145,-93.762,0.0784,0
40.227,-87.997,40.227,-87.997,0.0996,0
41.433,-90.782,41.433,-90.782,0.0996,0
46.583,-87.917,46.583,-87.917,0.0846,0
38.862,-80.212,38.862,-80.212,0.0827,0
46.506,-90.645,46.506,-90.645,0.0864,0
44.595,-84.463,44.595,-84.463,0.0846,0
45.955,-85.624,45.955,-85.624,0.0846,0
42.325,-79.325,42.325,-79.325,0.0895,0
44.135,-83.625,44.135,-83.625,0.0846,0
44.792,-75.31,44.792,-75.31,0.0895,0
44.123,-84.708,44.123,-84.708,0.0846,0
45.214,-87.948,45.214,-87.948,0.0864,0
41.42,-94.157,41.42,-94.157,0.0636,0
40.932,-75.544,40.932,-75.544,0.102,0
44.742,-90.493,44.742,-90.493,0.0864,0
40.101,-77.425,40.101,-77.425,0.102,0
39.864,-94.773,39.864,-94.773,0.0784,0
41.543,-80.279,41.543,-80.279,0.102,0
38.603,-78.137,38.603,-78.137,0.0992,0
45.268,-89.036,45.268,-89.036,0.0864,0
40.493,-87.529,40.493,-87.529,0.0996,0
41.723,-96.651,41.723,-96.651,0.075,0
45.405,-84.777,45.405,-84.777,0.0846,0
45.997,-86.253,45.997,-86.253,0.0846,0
42.127,-74.842,42.127,-74.842,0.0895,0
38.936,-87.73,38.936,-87.73,0.0996,0
42.182,-93.095,42.182,-93.095,0.0636,0
43.809,-91.798,43.809,-91.798,0.093,0
44.803,-85.981,44.803,-85.981,0.0846,0
41.255,-83.308,41.255,-83.308,0.0933,0
39.892,-87.32,39.892,-87.32,0.0895,0
40.194,-78.13,40.194,-78.13,0.102,0
42.298,-78.275,42.298,-78.275,0.0895,0
41.45,-75.674,41.45,-75.674,0.102,0
38.871,-88.304,38.871,-88.304,0.0996,0
45.417,-94.188,45.417,-94.188,0.093,0
40.721,-88.08,40.721,-88.08,0.0996,0
44.436,-93.756,44.436,-93.756,0.093,0
40.935,-73.004,40.935,-73.004,0.0895,0
43.156,-83.672,43.156,-83.672,0.0846,0
39.376,-80.375,39.376,-80.375,0.0827,0
42.226,-84.306,42.226,-84.306,0.0846,0
