,site.latitude,site.longitude,iron.LCOE,iron.LCOH,state,rate
207,40.592,-75.951,52.92795272,7.774752517,PA,10.2
208,39.147,-79.282,50.22245241,7.648694799,WV,8.27
209,38.644,-76.981,60.48685661,9.107058567,MD,12.47
210,42.699,-95.913,47.57093505,6.650574037,IA,6.36
211,40.276,-80.446,64.19364001,9.581061709,PA,10.2
212,46.002,-94.17,55.75347218,7.786657918,MN,9.3
213,43.769,-95.151,47.31078488,6.411883727,MN,9.3
214,42.828,-83.285,54.80541876,7.452960164,MI,8.46
215,42.306,-85.339,58.19811541,7.738857599,MI,8.46
216,45.817,-96.539,52.01958202,7.034215719,MN,9.3
217,40.981,-72.087,47.38085805,7.581109738,NY,8.95
218,43.651,-84.949,58.31734328,7.714266851,MI,8.46
219,41.872,-78.847,60.19990006,8.838877034,PA,10.2
220,46.915,-88.676,67.92832932,8.509743044,MI,8.46
221,39.504,-82.503,62.72090253,9.020945412,OH,9.33
222,43.257,-93.195,49.55256088,6.489928825,IA,6.36
223,44.479,-73.84,52.15043129,7.442068835,NY,8.95
224,42.826,-91.565,59.4002971,7.739153402,IA,6.36
225,44.842,-88.309,55.48362361,6.686331923,WI,8.64
226,38.398,-82.306,73.80592548,11.82468489,WV,8.27
227,38.559,-92.694,54.07315132,7.553252188,MO,7.84
228,38.871,-90.281,61.39907598,8.596880991,MO,7.84
229,40.71,-78.279,54.11497403,8.092009937,PA,10.2
230,39.423,-92.081,54.44194101,7.065610102,MO,7.84
231,38.36,-87.942,57.52916359,8.269603142,IL,9.96
232,41.354,-82.253,57.40390246,8.417149907,OH,9.33
233,46.891,-95.586,53.30603106,7.280094675,MN,9.3
234,38.215,-83.47,69.11204086,11.06497821,KY,6.86
235,46.464,-89.532,58.93365468,8.421302272,MI,8.46
236,40.153,-94.337,52.71937502,6.621701616,MO,7.84
237,43.952,-93.927,50.3826438,7.098541588,MN,9.3
238,41.477,-79.7,67.09750132,9.147615079,PA,10.2
239,44.209,-87.467,49.98534113,6.881160634,WI,8.64
240,45.683,-92.608,58.93381438,8.131030545,WI,8.64
241,38.781,-85.488,58.86544535,8.621361921,IN,8.95
242,38.312,-91.028,56.97321059,7.501142865,MO,7.84
243,38.394,-94.381,51.87572104,7.152864578,MO,7.84
244,39.663,-79.437,69.29531546,10.89040654,MD,12.47
245,39.766,-97.345,42.92463511,6.337007398,KS,8.26
246,41.456,-87.252,56.3357236,7.228621813,IN,8.95
247,42.671,-84.974,53.8034778,7.360343995,MI,8.46
248,43.626,-83.423,55.47191027,7.218286342,MI,8.46
249,39.601,-76.697,59.55842892,8.826842537,MD,12.47
250,40.484,-91.583,55.66062144,7.073695945,IA,6.36
251,43.058,-78.818,60.18058271,8.416316597,NY,8.95
252,39.774,-85.614,55.68656489,7.905718462,IN,8.95
253,44.738,-85.058,55.53773575,6.899077298,MI,8.46
254,42.697,-95.315,46.20799873,6.522319229,IA,6.36
255,43.318,-91.681,60.29937338,7.941027819,IA,6.36
256,45.329,-96.691,55.47259022,7.463930658,SD,8.67
257,38.641,-83.814,60.57997087,9.123808323,KY,6.86
258,43.979,-84.119,57.67525746,7.819865712,MI,8.46
259,38.273,-85.287,59.41725858,9.221892556,KY,6.86
260,45.957,-87.211,59.58845316,7.991027496,MI,8.46
261,44.231,-93.15,50.27937146,6.880228229,MN,9.3
262,42.148,-77.109,71.95034062,10.18256687,NY,8.95
263,40.732,-81.948,69.01805433,9.905469252,OH,9.33
264,39.755,-77.816,74.23476878,10.95687645,PA,10.2
265,42.672,-93.222,48.05948121,6.218271332,IA,6.36
266,40.894,-83.673,55.49143481,7.454978894,OH,9.33
267,44.221,-75.509,60.33804381,8.662683514,NY,8.95
268,38.896,-84.476,66.60599183,9.370482382,KY,6.86
269,46.089,-87.827,58.48668279,7.39889306,MI,8.46
270,40.746,-83.117,58.80303859,7.980298909,OH,9.33
271,41.954,-91.775,52.07035902,6.652528575,IA,6.36
272,43.576,-96.216,51.52767309,6.976484606,MN,9.3
273,45.628,-86.63,51.75128766,6.987551269,MI,8.46
274,46.495,-97.342,54.66545581,7.563494232,ND,7.55
275,46.388,-93.84,54.3237267,7.151761193,MN,9.3
276,45.12,-90.146,53.49276942,6.798092341,WI,8.64
277,43.425,-85.904,59.15579168,7.506765541,MI,8.46
278,39.278,-90.671,54.72249003,7.113773227,IL,9.96
279,46.537,-85.52,55.19269964,7.177562644,MI,8.46
280,40.892,-89.516,62.14196475,7.674201752,IL,9.96
281,44.93,-73.509,64.45930269,9.723615855,NY,8.95
282,45.172,-91.701,60.65322488,8.038204684,WI,8.64
283,41.191,-87.728,57.38612252,7.06732817,IL,9.96
284,42.979,-97.867,51.65670861,7.163428262,SD,8.67
285,44.775,-88.939,61.88150607,7.725587266,WI,8.64
286,45.032,-94.666,50.28776304,6.973067478,MN,9.3
287,43.964,-96.675,51.28051515,6.807031666,SD,8.67
288,40.354,-94.908,49.11599127,6.19981146,MO,7.84
289,44.544,-94.523,53.26763232,7.57847474,MN,9.3
290,38.931,-91.97,53.94683017,7.008936062,MO,7.84
291,41.453,-73.717,58.71329139,8.784280838,NY,8.95
292,40.27,-85.678,56.73799632,7.585260303,IN,8.95
293,43.489,-73.271,75.25988245,10.63583426,NY,8.95
294,41.556,-81.317,60.49616966,8.819655179,OH,9.33
295,39.044,-92.528,55.10917389,7.236472093,MO,7.84
296,46.046,-88.944,55.45098741,6.78852232,WI,8.64
297,41.013,-79.969,61.61168839,8.743873589,PA,10.2
298,40.552,-95.483,48.39441865,6.082976563,MO,7.84
299,39.52,-87.656,56.42082044,7.317487784,IL,9.96
300,46.499,-96.705,51.79891083,7.207889097,MN,9.3
301,41.56,-84.578,55.09470261,7.335645137,OH,9.33
302,44.843,-95.755,48.88431645,6.722463769,MN,9.3
303,43.462,-93.792,47.5891969,6.457598574,IA,6.36
304,45.873,-89.439,58.84717603,7.206161134,WI,8.64
305,39.944,-76.301,63.07089347,9.351633593,PA,10.2
306,39.134,-80.863,67.01406677,9.966855156,WV,8.27
307,38.582,-93.815,50.90998771,7.030631959,MO,7.84
308,42.32,-77.663,67.35604707,9.898108305,NY,8.95
309,40.177,-91.172,53.1436774,6.748893793,IL,9.96
310,42.503,-88.451,52.97420397,6.506614488,WI,8.64
311,42.973,-93.659,46.48919889,6.291868391,IA,6.36
312,39.938,-90.043,54.38222059,6.872969341,IL,9.96
313,42.941,-92.158,51.24178957,6.592920484,IA,6.36
314,40.973,-78.796,56.11705325,8.274484019,PA,10.2
315,41.816,-86.757,53.74173861,7.171169685,MI,8.46
316,46.774,-93.505,56.85097302,7.246789267,MN,9.3
317,42.291,-93.685,49.49236734,6.246625324,IA,6.36
