site.latitude,site.longitude
31.502,-101
47.673,-95.743
39.507,-113.801
39.423,-92.081
45.017,-98.552
38.36,-87.942
33.103,-105.789
41.354,-82.253
48.515,-108.989
33.902,-115.852
46.891,-95.586
35.775,-81.877
38.215,-83.47
44.996,-107.434
46.464,-89.532
31.48,-101.506
29.312,-96.052
28.926,-100.465
39.819,-123.902
32.222,-102.588
34.519,-99.757
37.875,-99.251
33.482,-97.227
41.704,-122.613
33.355,-93.064
42.565,-107.133
47.091,-116.681
34.539,-109.586
36.619,-113.039
40.153,-94.337
43.826,-99.569
46.859,-104.418
37.772,-89.819
37.207,-111.515
36.891,-121.244
41.513,-111.988
45.745,-114.754
44.096,-104.8
41.145,-120.707
37.782,-86.62
41.317,-106.765
44.713,-123.347
44.845,-112.261
40.307,-121.421
33.476,-97.748
36.167,-102.829
33.358,-98.786
36.11,-99.167
46.066,-99.706
38.901,-106.226
40.153,-106.57
33.886,-91.076
38.508,-108.564
34.491,-108.11
31.176,-90.37
43.952,-93.927
43.664,-70.693
41.477,-79.7
37.137,-88.914
38.828,-118.367
44.209,-87.467
45.683,-92.608
38.781,-85.488
46.835,-114.786
32.396,-96.952
34.711,-92.079
36.122,-79.751
38.312,-91.028
38.394,-94.381
35.234,-80.636
40.04,-98.642
34.74,-101.76
39.663,-79.437
39.934,-122.312
39.945,-113.486
37.808,-85.641
41.277,-100.011
39.473,-103.46
39.766,-97.345
46.19,-112.64
41.456,-87.252
43.061,-108.285
32.814,-91.536
41.605,-105.484
35.992,-113.98
45.704,-98.268
42.671,-84.974
43.626,-83.423
44.711,-121.095
48.841,-119.905
36.541,-96.057
32.72,-113.685
37.059,-80.081
38.878,-110.77
35.709,-109.816
30.356,-89.931
46.524,-110.312
39.542,-102.041
36.633,-94.695
39.601,-76.697
46.847,-102.647
35.239,-85.622
40.39,-106.029
40.896,-107.132
40.484,-91.583
43.142,-70.601
43.058,-78.818
33.643,-108.624
39.774,-85.614
48.864,-113.616
33.308,-86.293
44.738,-85.058
47.082,-97.195
45.673,-116.819
42.697,-95.315
42.578,-70.838
28.06,-99.324
31.185,-87.205
30.618,-104.332
43.318,-91.681
45.329,-96.691
29.992,-82.087
37.742,-83.699
39.502,-102.893
43.818,-112.601
38.641,-83.814
40.181,-118.698
44.437,-118.436
30.206,-94.807
31.903,-91.081
47.266,-110.826
37.497,-90.259
44.952,-71.74
33.06,-103.573
30.375,-98.925
36.033,-93.896
42.541,-102.782
40.919,-101.881
41.33,-103.533
43.481,-106.691
35.908,-86.605
30.87,-99.07
40.609,-110.294
34.782,-107.091
40.867,-115.52
35.918,-101.858
28.375,-98.85
31.969,-93.119
36.862,-109.223
41.347,-100.894
37.257,-107.083
45.561,-102.974
43.134,-104.511
39.707,-104.489
43.676,-112.099
43.163,-112.269
43.979,-84.119
38.416,-100.817
37.029,-95.099
35.163,-96.723
38.273,-85.287
47.432,-121.145
45.957,-87.211
46.344,-120.994
44.231,-93.15
42.148,-77.109
31.108,-85.058
40.732,-81.948
41.038,-109.95
44.643,-106.9
37.958,-99.811
29.689,-81.266
48.957,-116.192
31.899,-97.073
27.821,-81.741
33.239,-92.419
33.306,-111.586
38.88,-103.534
39.755,-77.816
42.672,-93.222
42.215,-118.536
34.892,-81.115
35.025,-82.299
32.97,-93.597
30.342,-83.409
40.894,-83.673
34.77,-85.958
42.326,-100.823
42.051,-121.841
31.842,-103.959
38.655,-108.025
44.221,-75.509
37.961,-92.306
33.816,-78.952
43.641,-99.102
34.447,-98.696
38.683,-115.438
42.01,-107.928
47.058,-93.01
38.896,-84.476
46.089,-87.827
30.047,-99.908
46.921,-119.921
40.746,-83.117
34.72,-89.823
32.863,-109.4
41.954,-91.775
39.641,-99.054
44.162,-108.047
32.451,-81.617
43.576,-96.216
33.247,-99.301
43.163,-101.945
45.628,-86.63
39.438,-105.596
33.343,-115.563
43.7,-103.065
43.762,-121.324
32.677,-87.154
33.789,-86.096
34.674,-106.008
38.696,-113.151
31.151,-89.867
46.495,-97.342
31.456,-102.012
46.388,-93.84
45.12,-90.146
43.425,-85.904
32.047,-86.717
44.013,-102.641
39.278,-90.671
46.537,-85.52
33.19,-95.406
47.733,-111.114
33.753,-114.875
39.25,-122.176
41.713,-69.972
29.721,-85.258
42.053,-115.593
32.678,-106.121
42.632,-100.398
40.892,-89.516
31.851,-82.507
33.41,-117.58
44.93,-73.509
35.069,-109.285
45.172,-91.701
32.038,-105.39
30.815,-87.626
38.912,-111.349
39.258,-106.709
36.23,-98.089
48.94,-101.73
37.492,-77.311
45.505,-121.767
41.191,-87.728
35.911,-78.157
47.885,-120.844
36.53,-77.578
35.186,-102.733
42.979,-97.867
45.305,-115.09
37.054,-110.23
34.763,-88.755
39.891,-112.309
36.484,-82.005
36.265,-109.244
43.514,-110.827
36.193,-89.69
37.58,-83.032
44.775,-88.939
47.755,-114.596
47.002,-106.863
44.288,-122.349
46.299,-105.613
48.128,-110.059
31.807,-104.466
40.701,-118.588
45.552,-105.018
32.608,-82.107
35.349,-111.233
37.837,-121.609
45.032,-94.666
39.619,-99.908
40.537,-124.376
34.177,-95.266
33.442,-114.262
48.551,-95.244
43.964,-96.675
36.88,-104.135
32.741,-92.315
37.261,-87.66
48.415,-119.38
46.931,-111.227
32.581,-93.996
30.287,-101.419
44.096,-69.712
41.404,-71.62
31.43,-102.517
30.363,-101.925
46.302,-108.332
40.354,-94.908
44.544,-94.523
40.07,-104.969
38.931,-91.97
36.716,-93.602
41.453,-73.717
42.657,-104.295
39.115,-108.395
46.857,-109.909
36.638,-82.524
40.27,-85.678
33.672,-106.13
28.233,-100.182
46.254,-123.263
46.391,-113.506
32.151,-99.508
31.623,-110.586
46.992,-108.319
34.299,-82.972
35.064,-81.752
30.579,-90.415
40.154,-103.539
47.46,-93.637
43.489,-73.271
42.473,-123.885
41.556,-81.317
46.057,-108.919
46.984,-117.466
30.692,-98.059
43.237,-115.67
40.002,-115.987
37.619,-96.611
39.044,-92.528
48.347,-124.653
48.161,-96.233
30.61,-96.303
31.746,-89.817
35.116,-105.401
41.95,-102.866
39.483,-113.216
31.086,-93.658
37.294,-88.208
48.771,-119.019
29.707,-94.938
46.046,-88.944
33.202,-106.978
48.835,-107.389
44.743,-122.072
33.97,-116.676
41.013,-79.969
46.065,-106.211
39.741,-121.194
36.445,-106.13
32.228,-89.52
40.552,-95.483
45.862,-123.734
47.395,-103.522
33.847,-90.161
39.52,-87.656
42.52,-120.342
36.12,-90.239
46.022,-119.872
32.641,-103.917
37.128,-106.233
46.499,-96.705
37.198,-113.186
36.329,-105.022
46.152,-102.885
44.748,-115.542
33.131,-107.75
47.367,-123.302
40.669,-117.534
27.561,-81.301
31.397,-90.861
47.852,-122.862
34.018,-99.993
38.239,-100.246
35.574,-84.896
47.655,-118.392
46.711,-122.984
31.106,-96.684
36.953,-100.576
41.56,-84.578
32.774,-107.302
44.252,-113.97
26.52,-80.409
33.933,-81.45
35.166,-90.986
45.402,-104.21
31.856,-111.923
44.843,-95.755
36.458,-79.256
43.462,-93.792
37.757,-87.737
48.6,-106.509
38.097,-107.644
37.218,-83.379
45.873,-89.439
48.396,-100.355
41.799,-124.193
45.279,-71.28
34.745,-93.404
36.882,-121.808
39.944,-76.301
39.134,-80.863
26.77,-98.554
38.582,-93.815
42.32,-77.663
43.241,-99.535
33.364,-82.617
42.803,-106.573
36.165,-89.15
40.177,-91.172
42.404,-109.055
42.503,-88.451
39.815,-102.496
31.341,-92.004
42.973,-93.659
45.543,-117.737
34.497,-109.044
28.204,-97.144
39.938,-90.043
44.5,-71.448
34.592,-81.982
32.588,-110.91
34.259,-101.457
42.941,-92.158
42.618,-119.764
40.973,-78.796
46.318,-114.131
46.853,-115.447
41.816,-86.757
48.537,-112.002
36.8,-110.73
32.993,-96.443
45.904,-103.964
45.967,-104.607
42.249,-121.309
41.679,-99.594
47.214,-110.323
45.404,-124.002
36.986,-99.482
34.27,-85.896
29.182,-98.634
46.774,-93.505
42.291,-93.685
40.63,-93.6
46.3,-94.637
44.226,-99.133
47.681,-106.993
47.866,-95.253
36.685,-84.028
48.165,-105.603
41.704,-98.418
